Tuned_Buffer,Capacity,Simulation_run,Buffer1,Buffer2,Buffer3,Buffer4,Buffer5,Throughput
3,6,2,5,5,6,5,5,11.35
3,6,3,5,5,6,5,5,11.15
3,6,4,5,5,6,5,5,11.5
3,6,5,5,5,6,5,5,11.3
3,6,6,5,5,6,5,5,11.35
3,6,7,5,5,6,5,5,11.525
3,6,8,5,5,6,5,5,11.075
3,6,9,5,5,6,5,5,11.375
3,6,10,5,5,6,5,5,11.35
3,7,1,5,5,7,5,5,11.25
3,7,2,5,5,7,5,5,11.225
3,7,3,5,5,7,5,5,11.05
3,7,4,5,5,7,5,5,11.175
3,7,5,5,5,7,5,5,11.325
3,7,6,5,5,7,5,5,11.175
3,7,7,5,5,7,5,5,11.375
3,7,8,5,5,7,5,5,11.2
3,7,9,5,5,7,5,5,11.5
3,7,10,5,5,7,5,5,11.25
3,8,1,5,5,8,5,5,11.45
3,8,2,5,5,8,5,5,11.4
3,8,3,5,5,8,5,5,11.175
3,8,4,5,5,8,5,5,11.3
3,8,5,5,5,8,5,5,10.925
3,8,6,5,5,8,5,5,11.325
3,8,7,5,5,8,5,5,11.45
3,8,8,5,5,8,5,5,11.2
3,8,9,5,5,8,5,5,11.35
3,8,10,5,5,8,5,5,11.375
3,9,1,5,5,9,5,5,11.1
3,9,2,5,5,9,5,5,11.5
3,9,3,5,5,9,5,5,11.25
3,9,4,5,5,9,5,5,11.125
3,9,5,5,5,9,5,5,11.125
3,9,6,5,5,9,5,5,11.25
3,9,7,5,5,9,5,5,11.2
3,9,8,5,5,9,5,5,11.3
3,9,9,5,5,9,5,5,11.575
3,9,10,5,5,9,5,5,11.275
3,10,1,5,5,10,5,5,11.2
3,10,2,5,5,10,5,5,11.425
3,10,3,5,5,10,5,5,11.375
3,10,4,5,5,10,5,5,11.275
3,10,5,5,5,10,5,5,11.35
3,10,6,5,5,10,5,5,11.425
3,10,7,5,5,10,5,5,11.225
3,10,8,5,5,10,5,5,11.075
3,10,9,5,5,10,5,5,11.25
3,10,10,5,5,10,5,5,11.45
3,11,1,5,5,11,5,5,11.5
3,11,2,5,5,11,5,5,11.2
3,11,3,5,5,11,5,5,11.15
3,11,4,5,5,11,5,5,11.25
3,11,5,5,5,11,5,5,11.525
3,11,6,5,5,11,5,5,11.325
3,11,7,5,5,11,5,5,11.275
3,11,8,5,5,11,5,5,11.25
3,11,9,5,5,11,5,5,11.375
3,11,10,5,5,11,5,5,11.275
3,12,1,5,5,12,5,5,11.55
3,12,2,5,5,12,5,5,11.125
3,12,3,5,5,12,5,5,11.45
3,12,4,5,5,12,5,5,11.15
3,12,5,5,5,12,5,5,11.5
3,12,6,5,5,12,5,5,11.275
3,12,7,5,5,12,5,5,11.375
3,12,8,5,5,12,5,5,10.975
3,12,9,5,5,12,5,5,11.575
3,12,10,5,5,12,5,5,11.375
3,13,1,5,5,13,5,5,11.375
3,13,2,5,5,13,5,5,10.9
3,13,3,5,5,13,5,5,11.375
3,13,4,5,5,13,5,5,11.125
3,13,5,5,5,13,5,5,11.4
3,13,6,5,5,13,5,5,11.35
3,13,7,5,5,13,5,5,11.425
3,13,8,5,5,13,5,5,11.1
3,13,9,5,5,13,5,5,11.375
3,13,10,5,5,13,5,5,11.075
3,14,1,5,5,14,5,5,11.475
3,14,2,5,5,14,5,5,10.875
3,14,3,5,5,14,5,5,11.35
3,14,4,5,5,14,5,5,11.35
3,14,5,5,5,14,5,5,11.075
3,14,6,5,5,14,5,5,11.375
3,14,7,5,5,14,5,5,11.475
3,14,8,5,5,14,5,5,11.575
3,14,9,5,5,14,5,5,11.325
3,14,10,5,5,14,5,5,11.375
3,15,1,5,5,15,5,5,11.25
3,15,2,5,5,15,5,5,11.325
3,15,3,5,5,15,5,5,11.5
3,15,4,5,5,15,5,5,11.225
3,15,5,5,5,15,5,5,11.5
3,15,6,5,5,15,5,5,11.25
3,15,7,5,5,15,5,5,11.325
3,15,8,5,5,15,5,5,11.3
3,15,9,5,5,15,5,5,11.325
3,15,10,5,5,15,5,5,11.425
3,16,1,5,5,16,5,5,11.425
3,16,2,5,5,16,5,5,11.125
3,16,3,5,5,16,5,5,11.575
3,16,4,5,5,16,5,5,11.375
3,16,5,5,5,16,5,5,11.25
3,16,6,5,5,16,5,5,11.4
3,16,7,5,5,16,5,5,11.1
3,16,8,5,5,16,5,5,11.275
3,16,9,5,5,16,5,5,11.3
3,16,10,5,5,16,5,5,11.375
3,17,1,5,5,17,5,5,11.6
3,17,2,5,5,17,5,5,11.375
3,17,3,5,5,17,5,5,11.175
3,17,4,5,5,17,5,5,11.375
3,17,5,5,5,17,5,5,11.3
3,17,6,5,5,17,5,5,11.55
3,17,7,5,5,17,5,5,11.225
3,17,8,5,5,17,5,5,11.35
3,17,9,5,5,17,5,5,11.25
3,17,10,5,5,17,5,5,11.475
3,18,1,5,5,18,5,5,11.375
3,18,2,5,5,18,5,5,11.225
3,18,3,5,5,18,5,5,11.075
3,18,4,5,5,18,5,5,11.6
3,18,5,5,5,18,5,5,11.375
3,18,6,5,5,18,5,5,11.625
3,18,7,5,5,18,5,5,11.175
3,18,8,5,5,18,5,5,11.325
3,18,9,5,5,18,5,5,11.475
3,18,10,5,5,18,5,5,11.25
3,19,1,5,5,19,5,5,11.55
3,19,2,5,5,19,5,5,11.25
3,19,3,5,5,19,5,5,11.25
3,19,4,5,5,19,5,5,11.475
3,19,5,5,5,19,5,5,11.425
3,19,6,5,5,19,5,5,11.25
